profile_id,condition,gender,age_band,race,education,income,party
synthetic_5442,Portrait Prof. Cherry,Male,30-44,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Republican
synthetic_5443,Interview Prof. Sebille,Female,60+,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Democrat
synthetic_5444,Social justice,Male,30-44,White / Caucasian,High school diploma / GED,"$168,000 or more",Independent
synthetic_5445,Former skeptics,Male,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_5446,Former skeptics,Male,45-59,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Independent
synthetic_5447,Consensus,Female,45-59,Hispanic / Latino,Master's degree / Professional degree,"$100,000 to $167,999",Other
synthetic_5448,Funding,Male,45-59,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_5449,Consensus,Male,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Independent
synthetic_5450,Funding,Female,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent
synthetic_5451,Scientist community helpers,Male,60+,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Independent
synthetic_5452,Scientist community helpers,Male,30-44,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_5453,Corporate reliance,Male,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican
synthetic_5454,Model accuracy,Female,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent
synthetic_5455,Interview Prof. Maraun,Male,18-29,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Independent
synthetic_5456,Oil industry misinformation,Female,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent
synthetic_5457,Model accuracy,Male,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican
synthetic_5458,Measurement & modeling (1),Male,60+,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Independent
synthetic_5459,Measurement & modeling (1),Female,18-29,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat
synthetic_5460,Measurement & modeling (2),Male,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican
synthetic_5461,Measurement & modeling (1),Female,45-59,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat
synthetic_5462,Model accuracy,Female,45-59,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Democrat
synthetic_5463,Corporate reliance,Female,45-59,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Independent
synthetic_5464,Corporate reliance,Male,45-59,White / Caucasian,Doctorate degree / Ph.D.,"$56,000 to $99,999",Independent
synthetic_5465,Oil industry misinformation,Male,30-44,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Democrat
synthetic_5466,Measurement & modeling (2),Male,45-59,Hispanic / Latino,Less than high school,"$168,000 or more",Democrat
synthetic_5467,control,Male,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_5468,control,Male,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican
synthetic_5469,Measurement & modeling (2),Male,18-29,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent
synthetic_5470,Scientist community helpers,Male,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat
synthetic_5471,Model accuracy,Male,30-44,Black / African American,High school diploma / GED,"$168,000 or more",Democrat
synthetic_5472,High public trust,Female,45-59,Hispanic / Latino,Bachelor's degree,"$30,000 to $55,999",Republican
synthetic_5473,control,Male,18-29,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Independent
synthetic_5474,Interview Prof. Maraun,Male,18-29,Asian / Asian American,Bachelor's degree,"$56,000 to $99,999",Democrat
synthetic_5475,Social justice,Other,30-44,Other,High school diploma / GED,"Less than $30,000",Democrat
synthetic_5476,Measurement & modeling (1),Female,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat
synthetic_5477,Model accuracy,Male,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_5478,Interview Prof. Maraun,Male,60+,Black / African American,Master's degree / Professional degree,"Less than $30,000",Independent
synthetic_5479,Extreme weather predictions,Female,30-44,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Other
synthetic_5480,Funding,Female,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat
synthetic_5481,Peer-review,Male,45-59,Other,High school diploma / GED,"$100,000 to $167,999",Other
synthetic_5482,Interview Prof. Maraun,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Independent
synthetic_5483,Corporate reliance,Female,45-59,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Independent
synthetic_5484,Former skeptics,Female,18-29,Asian / Asian American,Less than high school,"$168,000 or more",Republican
synthetic_5485,Extreme weather predictions,Male,18-29,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_5486,Peer-review,Male,18-29,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Republican
synthetic_5487,Social justice,Male,60+,White / Caucasian,Less than high school,"$56,000 to $99,999",Independent
synthetic_5488,Former skeptics,Female,30-44,Asian / Asian American,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_5489,Oil industry misinformation,Female,18-29,Other,Bachelor's degree,"$30,000 to $55,999",Independent
synthetic_5490,Extreme weather predictions,Male,30-44,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Democrat
synthetic_5491,Interview Prof. Maraun,Female,45-59,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Other
synthetic_5492,Model accuracy,Male,45-59,White / Caucasian,Doctorate degree / Ph.D.,"$168,000 or more",Independent
synthetic_5493,Former skeptics,Female,18-29,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_5494,Funding,Male,30-44,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Independent
synthetic_5495,Scientist community helpers,Male,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_5496,Scientist community helpers,Male,30-44,Other,Bachelor's degree,"Less than $30,000",Independent
synthetic_5497,Interview Prof. Sebille,Male,45-59,Asian / Asian American,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_5498,Peer-review,Female,45-59,Black / African American,Master's degree / Professional degree,"Less than $30,000",Independent
synthetic_5499,Corporate reliance,Male,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican
synthetic_5500,Scientist community helpers,Male,30-44,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat
synthetic_5501,Corporate reliance,Female,60+,Black / African American,High school diploma / GED,"$30,000 to $55,999",Democrat
synthetic_5502,Corporate reliance,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Independent
synthetic_5503,Peer-review,Male,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_5504,Scientist community helpers,Female,60+,Asian / Asian American,Master's degree / Professional degree,"$56,000 to $99,999",Democrat
synthetic_5505,Oil industry misinformation,Female,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican
synthetic_5506,Model accuracy,Female,60+,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Independent
synthetic_5507,Extreme weather predictions,Female,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_5508,Measurement & modeling (2),Male,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat
synthetic_5509,Social justice,Male,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_5510,Measurement & modeling (1),Female,18-29,Black / African American,High school diploma / GED,"$56,000 to $99,999",Other
synthetic_5511,Measurement & modeling (2),Male,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_5512,Measurement & modeling (1),Male,60+,White / Caucasian,Less than high school,"$56,000 to $99,999",Independent
synthetic_5513,Interview Prof. Sebille,Female,30-44,Black / African American,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_5514,Scientist community helpers,Male,45-59,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_5515,Interview Prof. Maraun,Female,60+,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Other
synthetic_5516,Interview Prof. Maraun,Female,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_5517,control,Male,60+,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Republican
synthetic_5518,Funding,Male,45-59,Asian / Asian American,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_5519,Portrait Prof. Cherry,Male,30-44,Hispanic / Latino,Bachelor's degree,"$100,000 to $167,999",Republican
synthetic_5520,Oil industry misinformation,Female,45-59,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat
synthetic_5521,Peer-review,Female,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat
synthetic_5522,Extreme weather predictions,Male,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat
synthetic_5523,Former skeptics,Female,60+,White / Caucasian,Bachelor's degree,"Less than $30,000",Independent
synthetic_5524,Peer-review,Female,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican
synthetic_5525,Consensus,Female,60+,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Other
synthetic_5526,Extreme weather predictions,Male,30-44,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican
synthetic_5527,Consensus,Male,60+,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Republican
synthetic_5528,Interview Prof. Maraun,Female,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat
synthetic_5529,Funding,Male,18-29,Hispanic / Latino,Bachelor's degree,"$30,000 to $55,999",Republican
synthetic_5530,Portrait Prof. Cherry,Female,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent
synthetic_5531,Measurement & modeling (2),Female,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican
synthetic_5532,Measurement & modeling (2),Male,60+,Black / African American,Doctorate degree / Ph.D.,"$56,000 to $99,999",Democrat
synthetic_5533,Interview Prof. Maraun,Female,60+,Asian / Asian American,Some college or Associate's degree,"$168,000 or more",Democrat
synthetic_5534,High public trust,Male,30-44,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Other
synthetic_5535,Peer-review,Female,45-59,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Other
synthetic_5536,Measurement & modeling (2),Male,60+,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Independent
synthetic_5537,Former skeptics,Female,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat
synthetic_5538,Measurement & modeling (1),Female,30-44,Asian / Asian American,Bachelor's degree,"Less than $30,000",Independent
synthetic_5539,Corporate reliance,Female,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican
synthetic_5540,High public trust,Female,30-44,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat
synthetic_5541,Funding,Female,18-29,Black / African American,Some college or Associate's degree,"$168,000 or more",Democrat
synthetic_5542,Social justice,Female,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican
synthetic_5543,Interview Prof. Sebille,Female,18-29,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent
synthetic_5544,Peer-review,Male,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_5545,Measurement & modeling (2),Female,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent
synthetic_5546,Scientist community helpers,Male,18-29,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat
synthetic_5547,Oil industry misinformation,Male,60+,Black / African American,High school diploma / GED,"Less than $30,000",Independent
synthetic_5548,Extreme weather predictions,Male,45-59,Black / African American,Master's degree / Professional degree,"$30,000 to $55,999",Other
synthetic_5549,Interview Prof. Sebille,Male,45-59,Hispanic / Latino,Less than high school,"Less than $30,000",Democrat
synthetic_5550,Social justice,Male,60+,Black / African American,High school diploma / GED,"$30,000 to $55,999",Democrat
synthetic_5551,Corporate reliance,Male,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Independent
synthetic_5552,control,Male,18-29,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican
synthetic_5553,Measurement & modeling (2),Female,60+,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Democrat
synthetic_5554,Former skeptics,Male,45-59,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Republican
synthetic_5555,Oil industry misinformation,Male,60+,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat
synthetic_5556,Measurement & modeling (2),Male,45-59,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Independent
synthetic_5557,Funding,Male,30-44,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican
synthetic_5558,Portrait Prof. Cherry,Female,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican
synthetic_5559,Social justice,Male,45-59,Black / African American,High school diploma / GED,"$100,000 to $167,999",Republican
synthetic_5560,Corporate reliance,Female,60+,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_5561,Extreme weather predictions,Female,60+,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Independent
synthetic_5562,Measurement & modeling (1),Male,60+,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Republican
synthetic_5563,Former skeptics,Male,45-59,Black / African American,High school diploma / GED,"$56,000 to $99,999",Independent
synthetic_5564,Model accuracy,Female,18-29,Other,Bachelor's degree,"$100,000 to $167,999",Republican
synthetic_5565,Consensus,Male,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_5566,Interview Prof. Sebille,Female,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat
synthetic_5567,Consensus,Female,60+,Asian / Asian American,Less than high school,"$56,000 to $99,999",Independent
synthetic_5568,Corporate reliance,Male,60+,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Democrat
synthetic_5569,Corporate reliance,Female,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat
synthetic_5570,Measurement & modeling (1),Female,45-59,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_5571,Extreme weather predictions,Male,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_5572,Measurement & modeling (2),Male,30-44,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Independent
synthetic_5573,Interview Prof. Sebille,Male,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent
synthetic_5574,Model accuracy,Male,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_5575,control,Male,30-44,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Independent
synthetic_5576,Former skeptics,Male,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent
synthetic_5577,Consensus,Male,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_5578,Measurement & modeling (2),Male,18-29,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican
synthetic_5579,control,Female,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_5580,Measurement & modeling (1),Male,45-59,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican
synthetic_5581,Measurement & modeling (1),Female,60+,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Republican
synthetic_5582,Consensus,Male,45-59,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Republican
synthetic_5583,Extreme weather predictions,Female,18-29,Other,High school diploma / GED,"$56,000 to $99,999",Other
synthetic_5584,Measurement & modeling (2),Male,30-44,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Other
synthetic_5585,Interview Prof. Sebille,Male,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican
synthetic_5586,Peer-review,Male,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican
synthetic_5587,control,Female,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat
synthetic_5588,Former skeptics,Male,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_5589,Corporate reliance,Male,30-44,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Other
synthetic_5590,Measurement & modeling (1),Female,60+,White / Caucasian,Less than high school,"Less than $30,000",Independent
synthetic_5591,Measurement & modeling (2),Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$56,000 to $99,999",Democrat
synthetic_5592,Measurement & modeling (1),Male,60+,Asian / Asian American,Some college or Associate's degree,"$30,000 to $55,999",Democrat
synthetic_5593,Consensus,Male,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent
synthetic_5594,Scientist community helpers,Female,60+,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat
synthetic_5595,Oil industry misinformation,Female,18-29,Black / African American,Less than high school,"$56,000 to $99,999",Democrat
synthetic_5596,Oil industry misinformation,Female,45-59,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Independent
synthetic_5597,Model accuracy,Female,30-44,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Independent
synthetic_5598,Consensus,Female,45-59,White / Caucasian,Doctorate degree / Ph.D.,"$100,000 to $167,999",Independent
synthetic_5599,Former skeptics,Male,18-29,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican
synthetic_5600,Model accuracy,Male,60+,Hispanic / Latino,Less than high school,"$100,000 to $167,999",Independent
synthetic_5601,Measurement & modeling (2),Male,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat
synthetic_5602,Former skeptics,Female,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent
synthetic_5603,Corporate reliance,Male,30-44,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_5604,Interview Prof. Maraun,Female,60+,Black / African American,High school diploma / GED,"Less than $30,000",Democrat
synthetic_5605,control,Male,60+,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Republican
synthetic_5606,Measurement & modeling (1),Male,45-59,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_5607,Former skeptics,Female,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_5608,Social justice,Male,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Other
synthetic_5609,Model accuracy,Male,45-59,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican
synthetic_5610,Portrait Prof. Cherry,Male,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat
synthetic_5611,control,Male,30-44,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent
synthetic_5612,Oil industry misinformation,Female,18-29,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_5613,control,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican
synthetic_5614,control,Female,30-44,Other,Bachelor's degree,"$30,000 to $55,999",Independent
synthetic_5615,Former skeptics,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent
synthetic_5616,Extreme weather predictions,Female,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent
synthetic_5617,Social justice,Male,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_5618,Corporate reliance,Male,30-44,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Independent
synthetic_5619,Consensus,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican
synthetic_5620,Consensus,Female,60+,Asian / Asian American,High school diploma / GED,"$100,000 to $167,999",Independent
synthetic_5621,Peer-review,Male,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent
synthetic_5622,Interview Prof. Sebille,Female,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat
synthetic_5623,Interview Prof. Maraun,Female,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican
synthetic_5624,Oil industry misinformation,Female,30-44,Asian / Asian American,Bachelor's degree,"$56,000 to $99,999",Republican
synthetic_5625,Social justice,Female,30-44,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Other
synthetic_5626,Measurement & modeling (1),Female,18-29,Black / African American,Some college or Associate's degree,"Less than $30,000",Republican
synthetic_5627,Interview Prof. Sebille,Male,18-29,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_5628,Extreme weather predictions,Female,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_5629,control,Female,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent
synthetic_5630,Corporate reliance,Female,30-44,Asian / Asian American,High school diploma / GED,"$30,000 to $55,999",Independent
synthetic_5631,Funding,Male,18-29,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Democrat
synthetic_5632,Corporate reliance,Male,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat
synthetic_5633,Funding,Male,60+,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Republican
synthetic_5634,High public trust,Male,60+,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Republican
synthetic_5635,Funding,Female,45-59,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican
synthetic_5636,Peer-review,Female,45-59,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Other
synthetic_5637,Former skeptics,Male,45-59,Hispanic / Latino,Less than high school,"Less than $30,000",Republican
synthetic_5638,Oil industry misinformation,Male,60+,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_5639,Extreme weather predictions,Female,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat
synthetic_5640,Portrait Prof. Cherry,Male,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican
synthetic_5641,Model accuracy,Male,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_5642,Former skeptics,Male,18-29,Other,High school diploma / GED,"$30,000 to $55,999",Independent
synthetic_5643,Funding,Male,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_5644,High public trust,Female,18-29,Black / African American,High school diploma / GED,"$100,000 to $167,999",Independent
synthetic_5645,control,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_5646,Consensus,Female,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican
synthetic_5647,Measurement & modeling (1),Male,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Democrat
synthetic_5648,Social justice,Male,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican
synthetic_5649,Peer-review,Female,45-59,White / Caucasian,Less than high school,"$168,000 or more",Independent
synthetic_5650,Portrait Prof. Cherry,Male,30-44,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent
synthetic_5651,Peer-review,Male,30-44,White / Caucasian,High school diploma / GED,"Less than $30,000",Other
synthetic_5652,Social justice,Female,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican
synthetic_5653,Former skeptics,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat
synthetic_5654,Interview Prof. Sebille,Male,45-59,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Democrat
synthetic_5655,Scientist community helpers,Male,30-44,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent
synthetic_5656,Interview Prof. Sebille,Male,60+,Black / African American,High school diploma / GED,"$30,000 to $55,999",Other
synthetic_5657,Portrait Prof. Cherry,Female,45-59,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat
synthetic_5658,Social justice,Male,45-59,Hispanic / Latino,Less than high school,"$168,000 or more",Democrat
synthetic_5659,Interview Prof. Sebille,Male,18-29,Hispanic / Latino,Bachelor's degree,"$30,000 to $55,999",Democrat
synthetic_5660,Corporate reliance,Female,18-29,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent
synthetic_5661,Funding,Male,60+,Other,High school diploma / GED,"$56,000 to $99,999",Other
synthetic_5662,High public trust,Male,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_5663,High public trust,Male,18-29,Black / African American,Some college or Associate's degree,"$100,000 to $167,999",Independent
synthetic_5664,Former skeptics,Female,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican
synthetic_5665,Measurement & modeling (1),Male,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_5666,Portrait Prof. Cherry,Female,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican
synthetic_5667,Corporate reliance,Female,30-44,Black / African American,Some college or Associate's degree,"Less than $30,000",Other
synthetic_5668,Measurement & modeling (1),Female,18-29,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent
synthetic_5669,Social justice,Male,18-29,Hispanic / Latino,Bachelor's degree,"$100,000 to $167,999",Republican
synthetic_5670,Measurement & modeling (2),Female,60+,White / Caucasian,Less than high school,"Less than $30,000",Independent
synthetic_5671,Funding,Male,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Democrat
synthetic_5672,Oil industry misinformation,Female,30-44,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Independent
synthetic_5673,Scientist community helpers,Male,60+,White / Caucasian,Less than high school,"$30,000 to $55,999",Democrat
synthetic_5674,Peer-review,Male,60+,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_5675,Consensus,Female,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent
synthetic_5676,Consensus,Other,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Other
synthetic_5677,Portrait Prof. Cherry,Female,60+,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_5678,High public trust,Male,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican
synthetic_5679,Portrait Prof. Cherry,Female,18-29,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Other
synthetic_5680,High public trust,Male,18-29,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Republican
synthetic_5681,Extreme weather predictions,Male,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat
synthetic_5682,control,Male,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican
synthetic_5683,Portrait Prof. Cherry,Female,30-44,Hispanic / Latino,Bachelor's degree,"$30,000 to $55,999",Democrat
synthetic_5684,Measurement & modeling (2),Male,60+,Black / African American,Some college or Associate's degree,"Less than $30,000",Democrat
synthetic_5685,Consensus,Female,18-29,Black / African American,Bachelor's degree,"$100,000 to $167,999",Democrat
synthetic_5686,Consensus,Male,18-29,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent
synthetic_5687,Extreme weather predictions,Female,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican
synthetic_5688,Funding,Female,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat
synthetic_5689,Portrait Prof. Cherry,Female,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat
synthetic_5690,Corporate reliance,Female,60+,Asian / Asian American,Doctorate degree / Ph.D.,"Less than $30,000",Democrat
synthetic_5691,Interview Prof. Sebille,Female,45-59,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Independent
synthetic_5692,Interview Prof. Maraun,Male,60+,White / Caucasian,Doctorate degree / Ph.D.,"$168,000 or more",Independent
